key,value,updated_at,user_id,is_public
team3_type,Mixed,2025-11-12 21:42:38.025681+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Tech Center 1,33,2025-11-07 13:02:28.570243+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Tech Center 1,32,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Tech Center 1,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Tech Center 2,26,2025-11-07 13:02:28.570243+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Tech Center 2,23,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Tech Center 2,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Tech Center 3,26,2025-11-07 13:02:28.570243+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Tech Center 3,23,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Tech Center 3,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Technical Institute,25,2025-11-09 00:39:14.0808+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Technical Institute,27,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Technical Institute,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Training Base 1,25,2025-11-09 00:37:02.780989+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Training Base 1,25,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Training Base 1,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Training Base 2,25,2025-11-09 00:37:02.780989+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Training Base 2,25,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Training Base 2,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Training Base 3,25,2025-11-09 00:37:02.780989+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Training Base 3,24,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Training Base 3,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Training Base 4,24,2025-11-09 00:37:02.780989+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Training Base 4,24,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Training Base 4,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Training Base 5,23,2025-11-09 00:37:02.780989+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Training Base 5,24,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Training Base 5,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Wall,32,2025-11-06 23:54:16.856459+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Wall,33,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Wall,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
